Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
Map4k1,0.341490640198561,6.22971990483054,5.74040155653642,5.21812326108972E-06,0.00066566118675423,3.98582236515776
Tcirg1,0.194328793298624,6.95582454638293,5.74778093675312,5.12016696215915E-06,0.00066306162159961,3.97490496822836
Fgd2,0.417557322778477,6.4113961101415,5.68759995970837,5.97665872745837E-06,0.00073164383558664,3.97238051027977
Aspg,0.983860668784631,6.13625668597968,5.91026612991917,3.37724046903287E-06,0.00050462152430914,3.95427852539756
Il17ra,0.140103848027134,7.00828769783602,5.74995426795939,5.09167379199115E-06,0.00066306162159961,3.94111080350414
Ncf1,0.467711970829258,6.6830839248279,5.65963554920326,6.42264689915576E-06,0.00074207232688571,3.92363387046815
Cd48,0.193998526843251,6.96445713948952,5.72891252500111,5.3744223274883E-06,0.0006755174651918,3.92154984366068
Psmb9,0.46275996550996,6.33787450353535,5.66289446199875,6.36898544546354E-06,0.00074207232688571,3.86978079627241
Grn,0.161184810078922,7.39737150652452,5.80927221006535,4.37298248885088E-06,0.00058399814581575,3.86636704135275
Pycard,0.56468842796874,6.01295798778659,5.84570719700272,3.98336864718351E-06,0.00054912664237866,3.85121730079033
Ssc5d,0.255598022602631,6.94099766154567,5.68659248395567,5.99216900562364E-06,0.00073164383558664,3.83713929773444
Lcp2,0.292731227448676,6.57466501231967,5.6146207746586,7.21240839661399E-06,0.00077055568207324,3.82315019292174
Inpp5d,0.171578833193372,6.9143662724294,5.66322131784381,6.36362850029531E-06,0.00074207232688571,3.7835661631039
Prkab1,0.127757961535714,6.87201289529457,5.62035823100194,7.10652277284714E-06,0.00076885379923448,3.69604284440428
S100a4,0.687157932938594,6.68945448901029,5.56103108419133,8.28179302997953E-06,0.00082389650843137,3.69477702764566
Irf9,0.165818013621544,6.84764322802767,5.59421476612302,7.60209899936464E-06,0.00079237975789719,3.64845309726843
Pld4,0.230633166912719,7.12648403450633,5.64537180590397,6.66294796403368E-06,0.00074931863484994,3.610829392457
Aebp1,0.237318856934924,7.19869834142782,5.65950121561862,6.42486863104513E-06,0.00074207232688571,3.60153518244517
Pdlim4,0.27815040800049,7.1447719627387,5.63953704224994,6.7638481251694E-06,0.0007507871418938,3.59169395686329
Tax1bp3,0.282010725253932,6.53471814545291,5.50043037222272,9.68564254915465E-06,0.00089981724856113,3.54792364291625
Tacc3,0.409077697693619,6.06542894886527,5.63332927768073,6.87289582550645E-06,0.00075311077718722,3.5446154366744
Mvp,0.27197956928874,6.95899900461793,5.54795053790348,8.56630843527507E-06,0.00083200270677609,3.47648274443513
Rnaset2,0.255445825673261,7.05017361758793,5.56181249728397,8.26510188021886E-06,0.00082389650843137,3.45029419297443
Akna,0.164213989198703,6.82377838006942,5.50930958149396,9.4658095779055E-06,0.00088905796112481,3.44773627228496
