"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CAPG",0.653237849746859,6.61661161361963,5.09900549880651,2.74753424316149e-05,0.00186374406161121,2.57011020475918
"IFI47",0.628274571389898,5.89681120358676,5.29918743438136,1.63183626692536e-05,0.00129141709013065,2.50699845944537
"UNG",0.573510670084144,5.87706133843915,5.2897346221292,1.67240954968384e-05,0.00131138389184842,2.49097947482939
"ARHGDIB",0.269621846501637,6.88335902283474,5.14006124496196,2.46874364813589e-05,0.00170164128714657,2.48720858880215
"ARHGAP9",0.444266417426806,6.20467868037978,5.02958182013324,3.29289330300938e-05,0.00214842435578788,2.32728569364134
"STXBP2",0.391886595483862,6.26724596096654,4.97420781720231,3.80492407538382e-05,0.00240893970905966,2.23779000920466
"GNA15",0.347485023254281,6.37166572218251,4.95616504096974,3.98846728548901e-05,0.00247528276217994,2.22543532180775
"IFI44",0.275891232379392,6.45301595774972,4.95450093060086,4.00583699246548e-05,0.00247528276217994,2.22202362789114
"ZC3HAV1",0.274346181894531,6.32932018816604,4.9489456627272,4.0643735817538e-05,0.00247528276217994,2.2043298183311
"RAC2",0.447253191832446,6.46493505810041,4.93210822251746,4.24708814979993e-05,0.00247528276217994,2.17025830569581
"APOBR",0.264883539318368,6.21841772879009,4.94216682315371,4.13696727015596e-05,0.00247528276217994,2.1535368171651
"DSE",0.286399524245349,6.34895025090857,4.90469031321208,4.56242354079937e-05,0.00256546276336922,2.10110485811963
"SH3TC1",0.325640098291672,6.27894846724716,4.87796616056991,4.89236952975389e-05,0.00269774724972945,2.02143126483271
"CEBPD",0.319366985170247,6.87951649816808,4.91143892405918,4.48269276719943e-05,0.00254642614321465,1.91583104645998
"CD180",0.344419219333321,6.48522368631053,4.82823067148336,5.57144346644065e-05,0.00301386881694103,1.91152517404315
"SP110",0.307124198500336,6.38197543080672,4.82175420499014,5.66655995427338e-05,0.00302700549557341,1.90388577610591
"FLNC",0.344834284174887,7.04106443411814,4.94668513369934,4.08843810254322e-05,0.00247528276217994,1.89610118611696
"S1PR3",0.493144050191877,6.70260446937022,4.833841087125,5.49034022133191e-05,0.00298891324023719,1.86584903146077
"PARP14",0.315439334217234,6.29430630930165,4.78411287857872,6.25247772376888e-05,0.00319999563503309,1.80413814674684
"PYGL",0.330783188078855,6.06961350537599,4.82464369990724,5.62392408536169e-05,0.0030231244753199,1.78750163119493
"SH3D21",0.425725943145322,5.91674170314246,4.89894496183856,4.63142135674609e-05,0.00258723910693522,1.78235335705728
"UNC13D",0.310075968949765,6.28550309987767,4.76682538653755,6.54153819972322e-05,0.00328885452900202,1.7616699211124
"SASH3",0.381077870568208,6.12423458175079,4.7753248243276,6.39778634700564e-05,0.00325487380403912,1.70637264038322
"MYD88",0.290499142394978,6.51058350870992,4.74386679983036,6.94620804548643e-05,0.00341202529682601,1.69446177190513
"ARHGAP30",0.442635014063319,6.22007124293316,4.75137397043441,6.81120203614712e-05,0.00337807883357538,1.69394899738941
"EVC2",0.318919968514357,6.03124307987656,4.79353290019065,6.1003870686003e-05,0.00314096435393535,1.68981552288481
"GBP2",0.670055129458942,6.38363924507142,4.62180090196315,9.5576358645161e-05,0.00412571281484945,1.418001186415
"PARP9",0.3275789675625,6.51650669149944,4.62742950645502,9.41802499377321e-05,0.00408608424476039,1.40962572414016
"PSD4",0.44167722343205,6.01723136013566,4.6780144742868,8.25130759341087e-05,0.00381210410815582,1.40138753756128
"PLIN2",0.357997899664552,6.68493527462655,4.63194004448548,9.30761821420984e-05,0.00405878637126794,1.34502515344699
"IKZF1",0.429283448351349,6.01689710579459,4.63551997931723,9.2209113965975e-05,0.00405780450427781,1.31156086088531
"MYO7A",0.453664888850666,6.07503807914283,4.61401643050153,9.75413318938107e-05,0.00416547792401913,1.30231030548381
"TAP1",0.283693536484975,6.53937228731879,4.58284328186052,0.00010582273183224,0.0043490799469305,1.28638674263802
"PI16",0.262563065753673,6.44582810942186,4.5645823498135,0.000110996159690627,0.00449526521656482,1.27154990360333
"MMP19",0.60160243037895,5.98500628065423,4.63655957188075,9.19588376064309e-05,0.00405780450427781,1.24827890024886
