,GSM107412,GSM107413,GSM107414,GSM107415,GSM107416,GSM107417,GSM107418,GSM107419,GSM107420,GSM107421,GSM107422,GSM107423,GSM107424,GSM107425,GSM107426,GSM107427,GSM107428,GSM107429,GSM107430,GSM107431,GSM107432,GSM107433,GSM107434,GSM107435
Wfdc6a,93.3,207.7,252.3,148.7,258,214.8,119.9,82.7,139,105.4,292.2,87.9,214.4,122.8,224.1,122.5,219.3,178.3,170.8,83.3,207.6,118.6,239.6,205.2
Wipf3,1119.9,1020.3,1238.43333333333,1124.33333333333,1161.66666666667,792.733333333333,651.6,935.166666666667,933.5,1210.33333333333,969.5,776.8,828.6,636,778.333333333333,909.466666666667,1277.16666666667,1385.5,1334.36666666667,1129.06666666667,845.2,803.566666666667,736.166666666667,825.133333333333
Wiz,1319.5,1063.5,929.8,1416.8,1392.1,1334.9,1133.2,1284.2,1384.1,1100.2,1676.8,1370.4,1216.6,1176.9,1446.3,1200.3,1332.3,1053.6,1155.4,1105.1,1432,1515,1109.5,1281.6
Wrap53,181.3,177.1,191.9,233,172.8,224.2,225.2,185.6,210.3,159.4,148.4,171.2,228.1,274.2,242.9,248.1,227.5,186.4,98.4,305.4,382.6,270.6,170.8,233.9
Wrap73,435.7,185.3,445.3,335.8,273,370.8,270.5,389.5,275.9,299.6,77.4,186,320,317.8,306.9,293.5,162.5,253.4,223.4,151.1,144.6,214.1,282.7,174.6
Wsb2,1403.2,1537.4,1636.4,1690.9,1558.4,1351.1,1051.9,1358.9,1792.5,1490.2,1495.5,1586,1354.7,1108.6,987.3,1205.5,1681.3,1639.9,1723.2,1704.9,1393.5,1234.2,1464.2,1199.9
Wt1,190.966666666667,203.633333333333,134.733333333333,126.166666666667,170.2,169.366666666667,180.733333333333,249.233333333333,157.533333333333,114.933333333333,113.866666666667,190.733333333333,140.9,104.533333333333,204.133333333333,177.5,124.566666666667,112.966666666667,131.266666666667,107.366666666667,122.233333333333,86.4333333333333,115.333333333333,132.833333333333
Xcl1,405.1,71.2,189.5,196.6,80,170.6,462.4,244.1,198.9,228.6,410.2,341.7,359.2,306.6,391,149.2,328.1,393.3,296.2,115.5,366.2,292.3,213.4,116.1
Xdh,3054.8,1673.4,2898,3499.6,3558.1,4271.9,3090.9,6551.6,3806.8,3454.7,5281.1,4039.8,3010.8,2907.4,2618.4,2641.4,2500.4,2277.6,2795.5,2514.2,2627.9,1878.6,2423.7,1941.7
Xpnpep1,2075.4,2385.5,2432.6,2078.1,3328.3,1822.1,1951.3,1706.8,2377.7,2408.9,1859.5,1464.4,1784.3,1690.6,1427.2,1588.4,2470.9,1827.9,2159.6,2309.4,2114.4,1860.1,2859,1673.3
Xpo7,772,842.1,859.4,601.9,1068.2,625.6,542.9,786.4,961.7,839.3,794,963.5,899.6,680.4,695.1,634.7,919,970.2,1011.1,950.8,693.7,1037.3,961.3,828.4
Xrcc5,511.1,414.8,565.8,541.4,535.3,368.1,509.6,531,595.8,582.4,652.8,565.8,516.1,528.7,504.8,458.7,459.6,450.8,450.1,481.6,341.1,467.6,500.3,416.8
Xrn2,475.5,418.1,592,556.8,604,599.2,620.2,625.4,538.7,467.4,505.3,525,605.1,386.1,680.9,495.8,375.2,476.7,433.5,392.1,385.8,462.8,482.6,350.7
Xylt2,620,494.2,579.7,872.3,376.7,634,694.7,728.5,312.3,296.6,419.8,508.5,418.2,685,206.8,701.1,389.5,197.4,169.1,476.2,726.7,527.1,431.1,355.4
Ybx1,15002.275,15516.725,13577.35,15592.975,15956.275,17146.325,17077.9,16008.375,19879.525,15168.075,22253.2,16124.15,18396.75,19905.6,25654.475,19022.6,15660.025,18350.35,12807.125,14589.45,18552.525,17577.775,14789.425,19494.5
Ybx1-ps3,19924.4333333333,20604.9333333333,17952.3666666667,20672.6333333333,21128.5333333333,22746.7,22649.9,21251.2,26285.3666666667,20129.0666666667,29249.2333333333,21301.7333333333,24374,26304.9666666667,33672.2,25202.8333333333,20775.3,24356.9666666667,16967.6,19375.7666666667,24618.7666666667,23352.7333333333,19670.5333333333,25915.6
Ybx3,10597.2,8032.3,7585.6,11057.2,11626.4,11256.6,13945.3,13457.4,9908.2,8943.5,12252.8,7669.9,8653.5,6566.9,9848.9,8585.4,7509.3,5524.7,7093.3,6760.3,6846.7,7001.1,6074.7,7985.8
Yif1a,3173.45,3802.65,3903.65,3615.5,3348.45,3156,3098.7,2484.5,4165.4,4400.6,3406.7,3153.2,3471.9,4177.2,3550.8,3939.2,4126.65,4497.4,4305.4,4720.45,3897.05,3151.85,3178.4,3136.8
Yipf3,694.7,682.5,866,683.6,715.9,910.3,782.6,711.2,747.1,635.9,733,726.7,731.2,708.1,597.9,567.6,894.9,928.2,580.9,870.6,801.3,762.7,891.5,712.3
Ykt6,48.9,65.1,50.3,103.3,66.55,67.7,60.25,50,37.7,37.6,151.9,50.35,38.05,36.4,25.35,28.95,34.6,41.45,37.3,37.85,18,39.5,59.75,57.3
Ylpm1,1351.05,1074.75,1378.1,1233.1,963.9,1224,1300.8,1256.4,914.2,847.6,1003.4,993.55,914.7,1211.95,1119.75,1102.6,856.5,770.9,982.55,820.95,908.1,1291.2,1333.85,1323.65
Ythdc1,979.6,1035.66666666667,1034.13333333333,918.8,994.133333333333,1195.63333333333,1014.3,1264.53333333333,704.5,812.8,1001.83333333333,816.966666666667,920.966666666667,704.766666666667,1045.83333333333,968.3,722.566666666667,660.4,756.466666666667,656.533333333333,565.733333333333,967.366666666667,724.266666666667,766
Ythdf3,1169.2,1199.9,1304.5,1366.4,1275.4,1227.1,1039.3,1323.5,847.1,941.1,1095.9,1276.9,1130.9,560,1274.5,994.3,900.5,750.6,1068.5,689.7,647.3,820.1,911.5,880.6
Ywhab,6780.2,7000,8838.2,6907.7,6942.7,6941.4,6149.3,6571,4501.3,6235.2,4894.4,5891,6410.8,4634.3,5333.8,7273,5169,5439.6,6146.4,5523.8,5825.6,4850.7,6356.4,6034.4
Ywhae,5572.45,6104.8,5704.9,5919.8,6129.7,5358.45,5183.25,5461.8,4508.45,5354.55,4663.2,5202.1,5034.65,4123.65,5342.25,5647.8,4618.9,4774.95,4574.55,4359.15,4395.8,5114.35,4662.85,5553.65
