"","MM_MEblack","MM_MEblue","MM_MEbrown","MM_MEpink","MM_MEred","MM_MEyellow","MM_MEgreen","MM_MEturquoise","MM_MEgrey"
"EMG1",-0.636521739130435,-0.60695652173913,-0.566086956521739,-0.580869565217391,-0.754782608695652,0.295652173913043,0.129565217391304,0.653043478260869,0.643478260869565
"EMID1",0.283478260869565,0.314782608695652,0.674782608695652,0.54,0.481739130434783,-0.0947826086956522,-0.477391304347826,-0.532173913043478,-0.58695652173913
"EMILIN1",-0.167826086956522,-0.32695652173913,0.317391304347826,0.778260869565217,0.34,0.710434782608696,-0.668695652173913,-0.275652173913043,-0.196521739130435
"EML1",0.546086956521739,0.573043478260869,0.560869565217391,0.414782608695652,0.806086956521739,-0.305217391304348,-0.196521739130435,-0.589565217391304,-0.627826086956522
"EML2",-0.00869565217391304,-0.048695652173913,0.56695652173913,0.473913043478261,0.338260869565217,0.244347826086956,-0.70695652173913,-0.373913043478261,-0.391304347826087
"EML4",0.748695652173913,0.652173913043478,0.451304347826087,0.0947826086956522,0.518260869565217,-0.495652173913043,-0.048695652173913,-0.588695652173913,-0.606086956521739
"EML5",0.58,0.6,0.397391304347826,-0.0504347826086956,0.406086956521739,-0.598260869565217,0.0295652173913043,-0.416521739130435,-0.496521739130435
"EMP2",-0.280869565217391,-0.545217391304348,-0.11304347826087,0.410434782608696,0.115652173913043,0.693913043478261,-0.389565217391304,0.0965217391304348,0.217391304347826
"EMX2",-0.698260869565217,-0.711304347826087,-0.661739130434783,-0.439130434782609,-0.563478260869565,0.383478260869565,0.13304347826087,0.706086956521739,0.739130434782609
"ENAH",-0.394782608695652,-0.453043478260869,-0.813043478260869,-0.514782608695652,-0.56695652173913,0.211304347826087,0.531304347826087,0.672173913043478,0.806086956521739
"ENC1",0.392173913043478,0.618260869565217,0.187826086956522,-0.0634782608695652,0.399130434782609,-0.635652173913043,0.382608695652174,-0.2,-0.341739130434783
"ENDOG",0.00695652173913043,0.2,0.481739130434783,0.510434782608696,0.431304347826087,-0.110434782608696,-0.277391304347826,-0.4,-0.480869565217391
"ENG",-0.236521739130435,-0.336521739130435,0.0521739130434783,0.193913043478261,-0.275652173913043,0.601739130434782,-0.402608695652174,0,0.0878260869565217
"ENGASE",0.262608695652174,0.285217391304348,0.587826086956522,0.544347826086956,0.30695652173913,0.06,-0.340869565217391,-0.563478260869565,-0.541739130434783
"ENKD1",0.210434782608696,0.101739130434783,0.583478260869565,0.598260869565217,0.481739130434783,0.15304347826087,-0.590434782608696,-0.48695652173913,-0.526086956521739
"ENKUR",0.0165217391304348,-0.10695652173913,-0.0582608695652174,0.405217391304348,0.30695652173913,0.136521739130435,0.0626086956521739,0.00695652173913043,-0.0139130434782609
"ENO1",-0.753913043478261,-0.634782608695652,-0.211304347826087,-0.224347826086956,-0.612173913043478,0.435652173913043,-0.19304347826087,0.530434782608696,0.442608695652174
"ENO3",0.326086956521739,0.38,0.722608695652174,0.314782608695652,0.214782608695652,-0.231304347826087,-0.406086956521739,-0.580869565217391,-0.634782608695652
"ENO4",0.505217391304348,0.422608695652174,0.644347826086957,0.578260869565217,0.731304347826087,-0.195652173913043,-0.320869565217391,-0.677391304347826,-0.68695652173913
"ENOPH1",0.343478260869565,0.591304347826087,0.363478260869565,0.136521739130435,0.322608695652174,-0.541739130434783,0.068695652173913,-0.321739130434783,-0.500869565217391
"ENPP2",0.159130434782609,0.21304347826087,0.0860869565217391,0.271304347826087,0.492173913043478,-0.300869565217391,0.16695652173913,-0.121739130434783,-0.209565217391304
"ENPP4",0.169565217391304,0.132173913043478,-0.231304347826087,-0.0817391304347826,0.316521739130435,-0.132173913043478,0.263478260869565,0.10695652173913,0.18
"ENPP5",0.76695652173913,0.914782608695652,0.411304347826087,0.0565217391304348,0.513913043478261,-0.723478260869565,0.282608695652174,-0.515652173913043,-0.588695652173913
"ENPP6",0.644347826086957,0.548695652173913,0.48695652173913,0.60695652173913,0.720869565217391,-0.151304347826087,-0.103478260869565,-0.644347826086957,-0.612173913043478
