"","MM_MEblack","MM_MEred","MM_MEgreen","MM_MEturquoise","MM_MEyellow","MM_MEblue","MM_MEbrown","MM_MEmagenta","MM_MEpink","MM_MEgrey"
"RERE",-0.576923076923077,-0.0666041275797373,0.219136960600375,-0.213320825515947,0.275234521575985,0.0198874296435272,0.535272045028143,0.487992495309568,-0.415384615384615,-0.622138836772983
"REST",-0.24577861163227,0.0165103189493433,0.109943714821764,0.0165103189493433,0.0275797373358349,-0.119699812382739,0.075984990619137,0.0848030018761726,-0.225891181988743,-0.0166979362101313
"RET",-0.337711069418386,-0.529455909943715,-0.343527204502814,-0.302063789868668,0.00806754221388368,0.404502814258912,0.116322701688555,0.281050656660413,0.309193245778612,-0.0549718574108818
"REV1",0.245028142589118,0.143151969981238,0.371294559099437,0.588930581613508,-0.163039399624765,-0.301688555347092,-0.310506566604128,0.130769230769231,0.304878048780488,-0.31031894934334
"RFC1",0.373170731707317,0.313133208255159,0.524202626641651,0.499249530956848,-0.376735459662289,-0.602626641651032,-0.476547842401501,-0.264540337711069,-0.0112570356472795,0.274296435272045
"RFC4",0.671294559099437,0.443527204502814,0.0945590994371482,0.230018761726079,-0.210881801125704,-0.356472795497186,-0.516885553470919,-0.644090056285178,-0.0450281425891182,0.621575984990619
"RFK",0.313696060037523,0.0932457786116322,0.615384615384615,0.851219512195122,-0.65328330206379,-0.575046904315197,-0.6859287054409,0.026078799249531,0.407317073170732,0.135647279549719
"RFX5",0.428517823639775,0.558161350844278,0.355722326454034,0.412382739212007,-0.0138836772983114,-0.55797373358349,-0.439024390243902,-0.172232645403377,-0.312007504690431,0.0577861163227017
"RGCC",-0.0048780487804878,0.163789868667917,-0.174296435272045,-0.0279549718574109,0.273921200750469,0.195121951219512,-0.106191369606004,0.161163227016886,-0.04953095684803,-0.339024390243902
"RGS12",-0.404502814258912,-0.162101313320826,-0.217823639774859,-0.432457786116323,0.30093808630394,0.303564727954972,0.476735459662289,0.263977485928705,-0.231519699812383,-0.315947467166979
"RGS18",0.293996247654784,0.171294559099437,0.746529080675422,0.881050656660413,-0.620450281425891,-0.716697936210131,-0.621951219512195,0.0386491557223264,0.249155722326454,0.0272045028142589
"RGS4",-0.124577861163227,-0.074296435272045,0.774108818011257,0.499249530956848,-0.530393996247655,-0.544090056285178,-0.125703564727955,0.195872420262664,0.0666041275797373,-0.0803001876172608
"RHEB",0.467166979362101,0.23639774859287,0.525140712945591,0.915759849906191,-0.602626641651032,-0.61219512195122,-0.764165103189493,-0.102063789868668,0.416697936210131,0.179174484052533
"RHOA",-0.0681050656660413,0.024577861163227,0.763789868667917,0.342776735459662,-0.237148217636022,-0.521575984990619,-0.0206378986866792,0.0401500938086304,-0.0921200750469043,-0.206378986866792
"RHOC",-0.482739212007505,-0.594559099437148,-0.463789868667917,-0.456285178236398,0.288930581613508,0.616885553470919,0.502251407129456,0.642213883677298,0.223452157598499,-0.45797373358349
"RIC8A",-0.49812382739212,-0.247467166979362,-0.331894934333959,-0.631332082551595,0.542213883677298,0.459099437148218,0.719699812382739,0.331519699812383,-0.259662288930582,-0.484427767354597
"RICTOR",0.452908067542214,0.593058161350844,0.58968105065666,0.682926829268293,-0.276360225140713,-0.788555347091932,-0.546904315196998,-0.330206378986867,-0.135272045028143,0.180300187617261
"RMDN3",0.187054409005629,-0.11031894934334,0.0397748592870544,0.415384615384615,-0.261913696060038,-0.105253283302064,-0.468292682926829,-0.0135084427767355,0.489118198874296,0.00187617260787992
"RNASE4",0.426829268292683,0.450093808630394,0.714821763602251,0.627767354596623,-0.196810506566604,-0.779924953095685,-0.399812382739212,-0.177110694183865,-0.141838649155722,-0.0273921200750469
"RND3",-0.0636022514071294,-0.0799249530956848,0.286303939962477,0.237148217636022,-0.559099437148218,-0.191369606003752,-0.290243902439024,-0.103939962476548,0.181425891181989,0.319887429643527
"RNF130",0.112757973733583,0.250093808630394,0.471106941838649,0.388930581613508,-0.397936210131332,-0.532833020637899,-0.324202626641651,-0.314821763602251,-0.0878048780487805,0.410506566604128
"RNF4",-0.0639774859287054,0.109756097560976,0.856285178236398,0.578236397748593,-0.4046904315197,-0.621388367729831,-0.229080675422139,0.108630393996248,-0.0142589118198874,-0.19718574108818
"RNH1",-0.303939962476548,-0.255534709193246,-0.442401500938086,-0.58405253283302,0.619699812382739,0.543339587242026,0.627392120075047,0.380112570356473,-0.116135084427767,-0.569793621013133
"RNMT",0.449343339587242,0.225328330206379,-0.0864915572232645,0.284615384615385,-0.435084427767355,-0.105440900562852,-0.577861163227017,-0.490994371482176,0.24859287054409,0.74296435272045
