Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
Insig1,0.123816463416262,8.87852523044735,4.76132388803847,2.28533030741518E-05,0.00086412743597498,2.22966844020545
Gstt2,0.18567349961677,8.69881057531183,4.70879622284878,2.70561870380328E-05,0.0009822572250764,2.19927423393824
Ephx2,0.0847303148372966,8.91736633079726,4.75782049509928,2.31123905031234E-05,0.00086412743597498,2.18574963989248
Kcnj5,0.110376219491221,8.63647045043955,4.68591765811353,2.91165502027137E-05,0.00104195654653997,2.15813753092904
Igfbp5,-0.195835748285776,8.59879734353333,-4.67709292780361,2.99518798546546E-05,0.00105675294416774,2.13169329051805
Acot7,0.155199680015532,8.71285476933788,4.666522617319,3.0983515564492E-05,0.00107796814568128,2.05169551488299
Ivd,-0.100164258992821,9.12107788120939,-4.71984393269861,2.61133254238494E-05,0.00096196882627562,1.89902619127865
Wipf3,-0.0735566087747001,8.78784470239997,-4.62282761596955,3.56317041208519E-05,0.00120618133544235,1.83720572514005
Slc27a1,0.17672012823476,8.87348262026994,4.62833536216751,3.5010030985877E-05,0.0012013716112277,1.82665400574497
Hsph1,-0.14270058567809,8.82514165078784,-4.56835700611992,4.23945274220713E-05,0.00136151655374729,1.63658427669082
Svil,0.0536832819846904,9.13430517426412,4.61402565034083,3.66477990393432E-05,0.00122403648791406,1.57713343826051
Lipe,0.195339247283296,8.83676319793437,4.53471832194138,4.71847856418784E-05,0.00149617579788488,1.56480165818859
Epb41,0.114444341735139,8.73571967752517,4.50237299156178,5.22901413975565E-05,0.00161591854127442,1.5240473524969
Chkb,0.0761791518816471,8.83915956082802,4.49874017554428,5.28963354828352E-05,0.00161591854127442,1.43603716774874
Ndufb10,-0.0691794169919612,9.24628989909199,-4.57814211904149,4.10930905151464E-05,0.00133685963299275,1.36720860271912
Mecr,-0.197958659386104,8.3920624918288,-4.36230746283436,8.13942157967785E-05,0.00234359207552793,1.33821718881097
Hadhb,0.063763845091553,9.56683697247754,4.58522008767835,4.01762464790314E-05,0.00132423022934176,1.21655616079713
Myl12a,0.0495175825581735,9.41329355329148,4.52823596925437,4.81671300601446E-05,0.00150823326000828,1.12281382443799
Rps12,0.0843675084153719,9.2146367104625,4.47696811380294,5.66764629070816E-05,0.00169017309026475,1.09554681882542
Cited2,0.183440864485703,8.87310305542833,4.3809971985769,7.67453002321724E-05,0.00225127696144935,1.07006464055838
Cst3,0.0804671048565547,9.32614559400535,4.48221653186368,5.57416793173631E-05,0.00168232417698789,1.03407276598884
Itgae,-0.154438279150698,8.0068919615344,-4.20910066170551,0.00013143461047819,0.00342962186716535,1.02844264734598
Prickle2,0.167523982047148,8.26572993291697,4.21644816668129,0.0001284642017229,0.00342343431187091,1.02453087824659
Qdpr,-0.0751520674550925,8.72782933751414,-4.31040879973565,9.57961979718023E-05,0.002696286246285,0.923382170703408
Ephx1,0.201892578103908,8.57989797868827,4.24485947143857,0.00011758237090692,0.00320156346871565,0.889978091041944
Bckdhb,-0.075347128675605,9.07844938594806,-4.37875358585634,7.72893487763052E-05,0.00225127696144935,0.87859672173308
Ctsk,-0.168896030173839,8.43381358629568,-4.18976484079054,0.00013957537108864,0.00353167984421279,0.79583370217904
Gpam,0.211228594576399,8.61282537162231,4.19759502873388,0.00013622112265998,0.00351787538415721,0.725995362041785
Gpd2,-0.0964342441536187,8.45457152586669,-4.14750512950292,0.00015911585817847,0.00386975946346679,0.656558628715624
Gstk1,-0.158567425375993,8.72638466896112,-4.19410274493779,0.00013770730034157,0.00351996721791461,0.568859220185121
Elovl5,-0.065089905209642,8.81929270622962,-4.21010196290585,0.00013102590127618,0.00342962186716535,0.558030972391959
Ldha,-0.0440922220541504,9.43659582591699,-4.34609095173585,8.56503507394922E-05,0.00243811509775486,0.540795207096837
Wfdc1,-0.312637463129153,8.59795864448595,-4.13968307881331,0.00016301417114826,0.00388905236882295,0.512068868330972
Gpc3,0.21670648279473,7.99174262647854,4.02357667182081,0.00023305799553879,0.00467048223059744,0.510108123890508
Pfkfb2,-0.118348511124759,8.48162417180396,-4.10451212121195,0.00018172256533739,0.00397694297863227,0.505012437719585
Stc1,0.198234030257468,8.24974662082731,4.0273174917422,0.00023040197385138,0.00467048223059744,0.496929981308056
Ivns1abp,0.148342923119107,9.15122492595213,4.26125600908856,0.00011171744552256,0.00307529891246188,0.496598964592892
Hagh,-0.143896294460211,8.60237977865788,-4.13562033625182,0.0001650754900548,0.00390107643950267,0.489700949928536
Slc11a2,-0.103700467384767,8.55588259831263,-4.12159752347738,0.00017238713176364,0.00396174096392589,0.488891507200241
Prkar1a,-0.0435661394200985,9.22990797345407,-4.28631793381685,0.00010330100896125,0.00287521141608823,0.48418445885868
Bcat2,-0.263357510190829,8.74108793984318,-4.16320517157453,0.00015156353206373,0.00375907572098672,0.460477780066947
Arrdc4,0.166652544840097,8.5936669592266,4.10700718716853,0.00018032920674633,0.00397694297863227,0.459863201281443
Idh1,0.114893597126978,8.88767545081919,4.14425348434191,0.00016072524058985,0.0038713146892075,0.335275436873797
Timm23,-0.0368105371639203,9.20368737780107,-4.22698479954723,0.00012431852375827,0.0033485795915534,0.324620067943497
Masp1,0.089361650022895,8.99082351456113,4.15768408877561,0.00015417868703457,0.00378644716687843,0.296188976798302
Ppif,-0.0727159012106756,9.08641616111866,-4.17815852819077,0.0001446958314478,0.00362463057776761,0.265115295750594
Fdft1,0.0975907399406959,8.87654411973127,4.10898837804458,0.00017923023146176,0.00397694297863227,0.236011581350587
Gstm2,-0.101918462202153,8.93132007745047,-4.12443615672173,0.00017088202760022,0.00396174096392589,0.217462346760269
Tns3,0.0816101180135042,8.73843286921118,4.05628254233953,0.00021080871639285,0.00451346867148793,0.177296857030317
Tmem71,0.152411901606271,8.71062300724492,4.0441412111586,0.00021881612459949,0.00460617136236752,0.175239597754599
Pla2g2a,0.175046310447773,8.99168221460361,4.11256199383792,0.00017726439355373,0.00397694297863227,0.17259791382742
Vldlr,-0.0855283259574392,8.82259694787708,-4.08032177938417,0.00019578630171911,0.0042279714293653,0.167419725021623
Nicn1,0.0857765612835053,8.67041756682482,4.02532911845701,0.00023181005710796,0.00467048223059744,0.137708028069282
Uck2,-0.173117451461273,8.28323727873695,-3.885367050588,0.00035498074936046,0.00639731494351045,0.0421278880665659
P4hb,-0.0532031696851496,9.13223686717216,-4.10299621362759,0.00018257422855996,0.00397694297863227,0.00666047576659601
Bud31,0.0833845488213933,8.9485026522765,4.03717387613736,0.00022354389177165,0.00466647874073337,-0.0322713755740267
Hspe1,-0.0667946807213031,9.19690008345165,-4.1053359604436,0.00018126134115197,0.00397694297863227,-0.0382402774674331
Vamp3,-0.0712394483177849,8.97513260933217,-4.03420037014957,0.00022559168868751,0.0046703072740679,-0.0785302391388809
