"","GSM2114177","GSM2114178","GSM2114179","GSM2114180","GSM2114181","GSM2114182","GSM2114183","GSM2114184","GSM2114185","GSM2114186"
"FNDC3B",3.42172433111005,4.1470122038189,4.16395127267421,4.03015766484024,4.54613362756875,4.12717592181338,4.18142314057747,3.91496471306909,3.60444424077318,3.39929746916663
"FNDC5",6.47548900831134,6.12784265492312,6.47258687761041,6.52246060277172,6.45885515976518,6.27522346439055,6.69443172412115,6.55974806404909,6.47986340374722,6.6163407487155
"FNIP1",4.59285924409391,4.90127624133436,4.58477684155332,4.45866263182094,4.65423422025436,4.90727426998621,4.46137448892626,4.29785486711903,4.37247985448343,4.25489169633522
"FNIP2",3.30481711023817,3.58441303989888,3.59380509495643,3.09587917166248,3.35311319477644,3.54841854765933,3.64671948574526,3.15823559696047,3.06132821645332,3.10021262573964
"FNTA",6.06651200655332,6.07364225316173,6.07880536736564,5.99618576233705,6.11618280181087,6.22295049941931,5.9795136235468,6.01201365590564,5.98141766430376,6.09513435630433
"FNTB",5.61314667064133,5.61886512523331,5.83070007504522,5.68542016940769,5.84853285525435,5.67446537640541,5.79145372914863,5.80111821491449,5.72614974052735,5.71585962406467
"FOLH1",3.86188516845075,4.0798572434249,4.10996971942036,4.15907101630089,3.87706895838976,4.48093577682567,3.96102567534217,3.77011310040878,3.85043145286371,4.10220190676116
"FOS",2.53131485916453,2.11790604945626,3.62835002801034,3.12142038997348,3.63874767212456,3.53214391946451,3.30663704055054,2.83974327416151,3.6293716514872,4.14547263203452
"FOSB",2.69512237621625,3.11965197075934,3.30441385254738,3.06987761412716,2.8917848908565,2.94429652658893,2.87264871097605,3.36496879294142,3.24458205751641,3.37526437262845
"FOSL1",3.14395503678382,2.84012535213351,2.82775965736421,2.64594849453131,2.71872150798523,2.94429652658893,3.16958667018817,3.26037984902693,2.74893061038259,2.99899518758569
"FOXG1",7.62614820095749,7.51426621898212,8.01896456874889,7.79169173214586,7.87435511671749,7.5190760667892,7.98409882749691,8.01607122067165,7.94779220174121,7.86900363862314
"FOXJ1",2.58243901584214,2.9939624558373,3.56734249851315,2.93233853544761,2.65609104019806,4.28118450918335,4.09826739914753,3.38319639617064,3.60444424077318,4.14547263203452
"FOXJ2",5.47342201333195,5.65160883579075,5.67623482391497,5.45873051908558,5.82024917022265,5.60419612761282,5.67980192798322,5.58978355287716,5.53051154549993,5.38175648384499
"FOXK1",4.42561585229432,4.25445714182488,4.41213339469409,4.24291204096642,4.72459405553691,4.48093577682567,4.53762044089545,4.38183756599552,4.27052768538978,3.90368297386865
"FOXK2",6.88143515551859,6.78527751866091,6.62683897242129,6.89061902883071,6.74874646411491,6.69718231278585,6.80654084630549,6.83354351214938,6.64481375642064,6.66092663197042
"FOXM1",3.39337361103676,3.10621514775263,3.04790075059528,2.90318420794876,2.8917848908565,3.12877672512339,3.08063741858605,2.96604398459323,3.03669392756299,3.04033814559891
"FOXN3",4.41154831523818,4.98073789629233,4.89605911408888,4.82014918186046,4.96961438508465,5.295005652798,5.11697736625036,4.76907403347079,5.01354043770316,4.86510762050889
"FOXO1",5.04262448907799,5.55353747305776,5.48449144861547,5.49826071801882,5.5925374398303,5.15588457337964,5.39422303971184,5.46484115464282,5.35482192958648,4.94619609572185
"FOXO3",5.04566387255337,5.17987114834418,5.4194028828021,5.23130843270005,5.41479270680738,5.58460186231525,5.55511505731323,5.50076248587503,5.14323857706541,4.87084863882753
"FOXO4",5.36809759953654,5.70829290638256,5.48684664119732,5.52721340398261,5.99489622663045,5.90364852248456,5.55327961385598,5.64180944836046,5.65104715406679,5.62536264040139
"FOXP1",5.03652644484095,4.50026462997915,4.89959895577811,4.73170453598981,4.86273746717229,4.95993371186761,5.01130803298493,4.57657743948842,4.64928486494099,4.82722357722038
"FOXP4",6.90086662788814,6.78948709812899,6.95152808233932,6.76052108041707,6.89321188790477,6.79761207717616,7.01827046924081,7.0656912104873,7.28503097242443,6.89585660902477
"FOXRED2",2.32664341828571,2.9939624558373,2.7197685849205,2.53628634570991,1.86648457540067,2.26594645231341,3.03927291039976,2.85288267148001,2.26733164431245,2.01559912948845
"FPGS",3.88243017372947,4.12719188799225,4.10996971942036,4.05687835614509,4.13992645377687,3.73061234653007,4.09322335818848,4.14066458787034,3.88534294740408,4.04748992178627
"FPGT",2.82816047073556,3.09265200079684,3.11033271815838,2.74786063027274,3.11775569396506,3.19229723353037,2.37073692715283,2.87880782269196,2.6710391914732,2.63069989210809
"FRA10AC1",3.87561429540658,4.2422240768767,4.09151748909676,4.33311940625484,5.21203100396581,4.29571837433462,4.13799716090213,4.33578528937686,4.42562703005508,4.47440061424455
"FRAS1",1.11532808786068,1.5311955119919,1.92905043528617,2.09552993503369,2.07236509308968,2.50150673018977,2.64341043468088,1.56903167552917,1.53925842596701,1.30726931676426
"FREM2",2.13447569570926,1.5311955119919,2.31568616585587,2.24243892414736,2.65609104019806,2.5984815530408,2.51350612480998,2.43041394117087,2.30907203964945,2.09622581589033
"FRG1",3.42172433111005,3.77479162706219,3.48491144496953,3.41787710373187,3.68653536908127,3.85358806015784,3.16958667018817,3.240521370929,3.73267427507765,3.69946435051917
"FRMD4A",4.63382819533699,4.42108295573809,4.97199717064093,4.70661158369321,4.40090480414274,5.0962488980992,4.93159906990374,4.56064909345407,4.83575615966912,4.51529473069134
"FRMD6",3.03805804826742,2.77368318744042,2.91429590659452,2.78029198478748,2.77874580099588,3.44789746970189,3.3663951173574,3.00187436376644,2.90678792018701,2.87878547040358
"FRMD8",5.15102389072907,5.13426084752181,5.37431964345438,5.24879681697727,5.12799198339604,5.61582620659684,5.49519074703213,5.23576500443451,5.28070752039379,5.37369212656328
"FRMPD4",6.38479431981518,6.24589170875421,6.1856024235228,5.93268071527966,6.28090330264002,6.38123949266989,6.12747624411901,5.90884423176273,6.17585024297951,5.83077329353745
"FRS2",6.51659525068559,6.70286926528587,6.37169752756317,6.61302344855236,6.60279128427343,6.66208964972819,6.47155624500733,6.51084882342555,6.38180621791908,6.43155799746428
"FRS3",4.91879843339106,4.55073668084703,4.74683332902249,4.59253040944313,5.10472945571831,4.73312176289658,4.81388763270275,4.99626072874235,4.89520209143848,5.07860043028103
"FRY",8.64301155927117,8.33044095327428,8.28902975965038,8.32159859845516,8.10066292432673,8.66631654121469,8.43823931739246,8.21965744957216,8.35297636038637,8.12883179430958
"FRZB",4.48503820687757,5.26093057311248,5.36154238331103,5.15297563769479,5.41951392235798,4.94464416263612,5.50851353175792,5.42580598644975,4.83932161237297,4.6681799391192
"FSCN2",2.69512237621625,2.64949542928629,2.6873687342173,2.24243892414736,2.5220313104804,2.55080879285102,2.84890401369375,2.91684242861035,2.48326070658334,2.58951359538796
"FSTL1",2.91049147520041,2.9190934233114,2.88602332859791,2.98893710639114,2.71872150798523,3.0162689203739,3.34957245494158,3.17925120076991,2.70270216596043,2.58951359538796
"FSTL4",4.91215261736422,5.06996042073795,5.37177322835926,5.12167766704808,5.24963446784034,5.12908263747323,4.9897555693301,5.36290412737567,5.66115531357166,5.29260797626694
"FSTL5",4.04920329199496,3.91239587583379,3.81237236605794,3.9033837406851,3.63874767212456,3.83380634576251,3.58337765499284,3.59350627623322,3.93950151129514,3.72504554794695
"FTH1",11.74495816641,11.958056032539,12.0025753884606,12.1028542745976,11.9776991278648,11.9282304986879,11.9519639104287,12.0130451930912,12.1272226421781,12.1713246660159
"FTO",7.95474426185312,8.13215471169901,7.90822808774287,8.04875031029372,7.88121662185908,7.87816727796117,7.99055610017083,8.02951438164071,7.9682904292412,7.85567558352524
"FTSJ3",5.0905025700734,5.15398494395391,5.00523591279826,5.09614104366551,5.15655239091346,5.01952128608698,4.94565998866118,5.08245170836958,4.92570906300226,5.07860043028103
"FUBP1",5.53094566941566,5.69039516477489,5.67003020280785,5.40774414843423,5.74325340294575,5.52416986065592,5.37148733834517,5.6034529379371,5.59941591976622,5.55221914013028
"FUBP3",5.12539642287764,4.98441477659127,5.36922231079029,4.94698809828676,5.35196810876864,5.46752837146089,5.31194422085045,5.22822214028646,5.24888978771539,5.23144848919468
"FUCA1",6.14654750475315,6.15256473426838,6.48677674411878,6.34682844454626,5.93680332158993,6.42266063150727,6.49564958690099,6.34290417820192,6.37199302845001,6.55079582860734
"FUCA2",5.21991159293775,5.20844850410782,4.96863078622318,5.00302582041258,4.93705788616014,4.98406487334968,4.95958518738263,5.08523791088322,5.16044335665487,5.18841984083835
"FUNDC1",4.72006277099712,4.83765320549996,4.47042037415133,4.56487167145916,4.70151995623454,4.89777856547798,4.47694945511564,4.64992445468355,4.7922689313054,4.61444115441639
"FUNDC2",4.7238626672268,4.54078254232377,4.61523666366339,4.7806178819975,5.05704794811684,4.5431670939198,4.70567933621433,4.75164154422615,4.75877106930737,4.9297890006967
"FUOM",3.56418147742817,3.72291215787852,3.68688204852687,3.85852320428902,3.65485342580902,3.75886045024816,3.80317764876778,3.52948265796017,3.70166936204344,3.91484107879874
"FURIN",6.61808893015914,6.30589581332196,6.68850380614346,6.51042777528294,6.42403812942626,6.4746827842144,6.58100153102138,6.56574555804367,6.59611954962752,6.387181864992
"FUS",7.70660203426403,7.95796963398859,8.14659394024636,8.24523971989985,8.10726204394876,7.98478653103972,7.90498925996712,8.1415017187989,8.02574838524566,8.01613672451539
"FUT10",2.40447002269827,2.40804779161741,2.06135632081365,2.78029198478748,2.71872150798523,2.3611510370842,2.76257791777795,2.56424759425249,1.8532245900346,2.39605795725792
"FUT11",3.73206352714889,3.36503707803976,3.85675296364534,3.68095806580896,3.58932267118949,3.60397605769667,3.7073968538498,3.77702257466987,3.86449759001227,3.55717345327572
