"","GSM3574340","GSM3574341","GSM3574342","GSM3574343","GSM3574344","GSM3574345","GSM3574346","GSM3574347","GSM3574348","GSM3574349","GSM3574350","GSM3574351","GSM3574352","GSM3574353","GSM3574354","GSM3574355"
"ACHE",1.5321188658895,1.7130459118118,2.17694243297153,1.52068981736551,1.9294331068624,2.53324487676828,1.57152152065712,1.82745832149251,2.64390596551421,1.76554038765265,2.90646237477133,2.43896139628999,2.44435399128665,2.42727735318349,2.47778822701075,3.38190748128774
"ACKR3",6.21723057473929,6.12553288356559,5.71037055046904,6.24524075009421,5.96792498981757,6.45440896131746,6.1120436742284,5.90311611033671,6.27457677958756,5.89462620977014,5.76481394166193,5.99554225047709,5.9074731717187,5.603496550085,5.57000190381587,5.95033213347455
"ACLY",4.77383772277687,4.63835040242067,4.48475633131668,4.66509291689445,4.7720205650443,5.13590249425965,4.65900632364882,4.74260899151024,4.93320037362282,4.7128750155813,4.4002364462318,4.49702162014421,4.41556468096245,4.4562366925826,4.51612809780243,4.99721422713207
"ACO1",5.21281908114063,5.39580050593798,5.4799156312445,5.30954913141337,5.48990428881283,5.64989395612283,5.48671277645553,5.58207006762396,5.73403423998715,5.56508767692322,5.23641252897769,5.28951549122333,5.45519092929489,5.42560648061602,5.56017215191399,5.53813906263877
"ACOT2",6.45984756768803,6.33357862356363,6.62779781450146,6.61502789988506,7.74640933488831,7.25098111529232,7.26531208755894,7.30695826491147,7.86603646594736,7.53189671146466,8.02097190686963,8.29881004425991,8.35219584278136,8.57061456256091,8.23285845025378,8.13668346756363
"ACOT7",3.45508487800272,3.40690252531509,2.23634598054872,3.16503541472389,3.57050030881503,4.82288429975367,3.80202000587907,3.00474899765092,5.54632199367937,3.53183868043417,2.85197063143076,2.94939135424964,3.33896582575536,3.46192373599679,4.45732273180833,4.27540323971122
"ACOX1",8.13004436866951,8.15764698722018,8.41990793405868,8.13741800386951,8.49411745061476,8.25986609973427,8.21491028746906,8.39667218468257,8.27264894816677,8.50267972320242,8.49846737840838,8.6824310205478,8.5333664181996,8.62026090853884,8.66663740466415,8.20931528181265
"ACOX3",3.82174240017368,3.77275502538362,3.83587040993954,3.6222291890541,3.801591717767,4.62514916448029,3.8593837997532,3.88480494204756,4.65047777947082,3.89849359068807,3.5894109153644,3.68378562282627,3.87033897165736,3.72001887477257,4.25283179872357,3.78422252770973
"ACP2",3.89796743989675,3.68779569290327,3.72272163741079,3.67455773826079,3.66574686195319,3.98913429437388,4.19860530260003,3.83739278630766,3.92060833057745,3.58108352954022,3.91591537990951,3.68378562282627,3.66326833175603,3.54172685790316,3.66300476703009,3.66217254696326
"ACSL1",9.95145510091879,9.92727339392878,10.3138019354702,9.99950563729548,10.3875682972782,9.67427007670774,10.0946065136298,10.2924140694414,9.83320763916117,10.2839344752383,10.3343768046626,10.519286896893,10.4800010957277,10.4859972747656,10.0027783513412,10.1661401484326
"ACSL3",4.7441090055726,4.44911312122411,5.02357989033303,4.95743634543685,4.58308275315941,3.34180498957463,4.26379204076542,4.61486902751535,3.30805665523099,4.23229364333579,5.41304378634281,5.58509381440171,5.07333704344777,5.11951126233584,4.28899018955455,4.18964401511444
"ACSL4",4.26541440785068,4.2658600445554,5.10019608394302,4.55445747778728,4.7681232429766,3.55884021685053,3.78435646546914,4.91237230379631,3.3769276908629,4.52432472214675,5.471443558847,5.83294089585137,5.54986867140753,5.39728249576065,4.45732167259401,4.23316076501062
"ACSL5",5.58500792711547,5.34352577819858,5.384670183218,5.6496143709319,5.3995807095071,4.95634341418609,5.46099994021,5.54749987109007,5.03550950598441,5.47568517867889,5.23995344383347,4.98086812444228,5.23187548719447,5.31891511750339,5.44203660231111,5.10655486092918
